Name,Quarter,Year,Total Revenue,Unit,Currency,BFSI Percentile,Date,FS Revenue
Wipro,4,2025,"2625.9
","Billions
","USD
","34.0
",31/03/2025,"USD
892.806 Billions
"
Wipro,1,2025,"2625.9
","Billions
","USD
","34.0
",-,"USD
892.806 Billions
"
Wipro,4,2024,"2823
","billions
","USD
","34.4
","-
","USD
971.112 billions
"
TCS,3,2025,639730,"Millions
","INR
","30.5
",-,"INR
195117.65 Millions
"
TCS,4,2024,"612370
","Millions
","INR
","31.3
","No exact date available.
","INR
191671.81 Millions
"
Infosys,4,2024,4564,"millions
","USD
","26.4
","-
","USD
1204.896 millions
"
Accenture,2,2025,"16.66
","billions
","USD
","18.1
",20/03/2025,"USD
3.0154600000000005 billions
"
persistent systems,4,2025,"375.2
","Millions
","USD
","11.9
","-
","USD
44.6488 Millions
"
persistent systems,4,2025,"375.2
","Millions
","USD
","12.3
","-
","USD
46.1496 Millions
"
birlasoft,4,2025,"152.2
","Millions
","INR
","24.0
","28/05/2025
","INR
36.528 Millions
"
Accenture,2,2025,2,millions,USD,"18
",/,USD0.36 millions
Accenture,2,2025,2,millions,USD,"18.1
","20/03/2025
",USD0.36200000000000004 millions
Accenture,2,2025,2,millions,USD,"18.1
","20/03/2025
",USD0.36200000000000004 millions
Accenture,2,2025,2,millions,USD,"18.1
","20/03/2025
",USD0.36200000000000004 millions
Accenture,2,2025,16660,millions,USD,"18.1
","20/03/2025
",USD3015.46 millions
birlasoft,4,2025,152.2,millions,USD,"24.0
","28/05/2025
",USD36.528 millions
mphasis,4,2025,430.0,millions,USD,-,"24/04/2025
",215.0
mphasis,4,2025,430.0,millions,USD,-,"24/04/2025
",292.0
mphasis,4,2025,430.0,millions,USD,-,"24/04/2025
",312.0
mphasis,4,2025,430.0,millions,USD,-,"24/04/2025
",392.0
mphasis,4,2025,430.0,millions,USD,-,"24/04/2025
",312.0
Accenture,2,2025,16660.0,millions,USD,-,"20/03/2025
",0.0
TCS,4,2025,7465.0,millions,USD,31.2,There is no date of publishment mentioned in the document.,2329.08
coforge,4,2025,1.445,millions,USD,13.4,"05/05/2025
",0.19363000000000002
coforge,4,2025,410.0,millions,USD,30.2,"There is no conference date mentioned in the document.
",123.82
coforge,4,2024,1.0,millions,USD,31.0,"There is no mention of a conference call date within the provided document.
",0.31
coforge,4,2024,286.8,millions,USD,33.7,"31/03/2024
",96.65160000000002
persistent systems,4,2025,375.2,millions,USD,11.9,"01/01/2025
",44.6488
